Description,Model,Acc,Time reg,Time sync,Std,Acc/Time,Size,Size,Image Size,Device Name,Notes,File Name,Observer,dType,QScheme,Reduce Range,,,,,,,,,,,,,,,,,,,,,,,,,
Static PTQ Fused CPU,resnet18,82.89,5.42,5.39,3.23,15.38,11.31,1,64,CPU,,resnet18_q_fused_scr.pth,MinMaxObserver PerChannelMinMaxObserver,quint8 quint8,per_tensor_affine per_channel_affine,False False,45,18,4,22,0,0,321,1,0,0,0,133,895,5,1,0,128,2,103,1,0,1517,1,1,1090
Static PTQ Fused CPU,resnet34,97.19,8.02,7.97,0.55,12.19,21.52,1,64,CPU,,resnet34_q_fused_scr.pth,MinMaxObserver PerChannelMinMaxObserver,quint8 quint8,per_tensor_affine per_channel_affine,False False,75,5,0,7,2,0,320,1,0,1,0,4,1018,4,8,0,5,29,167,33,0,182,15,5,2407
Static PTQ Fused CPU,resnet50,94.8,11.92,11.91,0.86,7.96,24.11,1,64,CPU,,resnet50_q_fused_scr.pth,MinMaxObserver PerChannelMinMaxObserver,quint8 quint8,per_tensor_affine per_channel_affine,False False,56,22,0,11,0,0,319,1,1,1,0,32,970,23,9,0,21,9,195,9,0,391,11,16,2191
Static PTQ Fused CPU,resnet18,98.15,4.84,4.8,0.57,20.45,11.31,1,64,CPU,,resnet18_q_fused_scr.pth,MinMaxObserver PerChannelMinMaxObserver,quint8 quint8,per_tensor_affine per_channel_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,316.0,1.0,0.0,5.0,0.0,3.0,1016.0,11.0,4.0,2.0,1.0,11.0,218.0,2.0,0.0,94.0,12.0,52.0,2451.0
Static PTQ Fused CPU,resnet34,97.81,8.35,8.32,0.78,11.75,21.52,1,64,CPU,,resnet34_q_fused_scr.pth,MinMaxObserver PerChannelMinMaxObserver,quint8 quint8,per_tensor_affine per_channel_symmetric,False False,82.0,1.0,0.0,6.0,0.0,0.0,314.0,1.0,1.0,6.0,0.0,3.0,1024.0,5.0,2.0,0.0,5.0,26.0,191.0,12.0,0.0,122.0,29.0,16.0,2442.0
Static PTQ Fused CPU,resnet50,98.5,11.8,11.75,0.93,8.38,24.11,1,64,CPU,,resnet50_q_fused_scr.pth,MinMaxObserver PerChannelMinMaxObserver,quint8 quint8,per_tensor_affine per_channel_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,312.0,1.0,1.0,8.0,0.0,1.0,1008.0,18.0,7.0,1.0,2.0,8.0,216.0,7.0,0.0,65.0,17.0,25.0,2502.0
Static PTQ Fused CPU,resnet18,98.1,4.81,4.77,0.54,20.56,11.31,1,64,CPU,,resnet18_q_fused_scr.pth,MinMaxObserver PerChannelMinMaxObserver,quint8 quint8,per_tensor_symmetric per_channel_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,316.0,1.0,0.0,5.0,0.0,3.0,1016.0,11.0,4.0,1.0,1.0,12.0,217.0,3.0,0.0,101.0,12.0,50.0,2446.0
Static PTQ Fused CPU,resnet34,97.83,8.95,8.92,0.88,10.97,21.52,1,64,CPU,,resnet34_q_fused_scr.pth,MinMaxObserver PerChannelMinMaxObserver,quint8 quint8,per_tensor_symmetric per_channel_symmetric,False False,83.0,1.0,0.0,5.0,0.0,0.0,314.0,1.0,1.0,6.0,0.0,4.0,1023.0,5.0,2.0,0.0,4.0,27.0,192.0,11.0,0.0,124.0,27.0,15.0,2443.0
Static PTQ Fused CPU,resnet50,98.39,11.7,11.66,0.96,8.44,24.11,1,64,CPU,,resnet50_q_fused_scr.pth,MinMaxObserver PerChannelMinMaxObserver,quint8 quint8,per_tensor_symmetric per_channel_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,309.0,1.0,2.0,10.0,0.0,2.0,996.0,30.0,6.0,1.0,2.0,5.0,219.0,7.0,0.0,63.0,15.0,29.0,2502.0
Static PTQ Fused CPU,resnet18,97.02,4.93,4.89,0.64,19.84,11.22,1,64,CPU,,resnet18_q_fused_scr.pth,HistogramObserver HistogramObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,77.0,4.0,2.0,6.0,0.0,0.0,318.0,2.0,1.0,1.0,0.0,15.0,993.0,9.0,17.0,0.0,40.0,7.0,155.0,32.0,0.0,172.0,4.0,7.0,2426.0
Static PTQ Fused CPU,resnet34,98.46,8.22,8.18,0.99,12.04,21.36,1,64,CPU,,resnet34_q_fused_scr.pth,HistogramObserver HistogramObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,88.0,0.0,0.0,1.0,0.0,0.0,313.0,1.0,1.0,7.0,0.0,1.0,1023.0,6.0,4.0,0.0,2.0,23.0,201.0,8.0,0.0,80.0,12.0,19.0,2498.0
Static PTQ Fused CPU,resnet50,98.3,11.78,11.74,0.98,8.37,23.65,1,64,CPU,,resnet50_q_fused_scr.pth,HistogramObserver HistogramObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,89.0,0.0,0.0,0.0,0.0,0.0,318.0,1.0,0.0,3.0,0.0,0.0,1017.0,10.0,7.0,1.0,1.0,14.0,212.0,6.0,0.0,104.0,15.0,20.0,2470.0
Static PTQ Fused CPU,resnet18,97.02,8.42,8.35,1.4,11.62,11.22,1,64,CPU2,,resnet18_q_fused_scr2.pth,HistogramObserver HistogramObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,77.0,4.0,2.0,6.0,0.0,0.0,318.0,2.0,1.0,1.0,0.0,15.0,993.0,9.0,17.0,0.0,40.0,7.0,155.0,32.0,0.0,172.0,4.0,7.0,2426.0
Static PTQ Fused CPU,resnet34,98.46,14.08,14.02,1.91,7.02,21.36,1,64,CPU2,,resnet34_q_fused_scr2.pth,HistogramObserver HistogramObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,88.0,0.0,0.0,1.0,0.0,0.0,313.0,1.0,1.0,7.0,0.0,1.0,1023.0,6.0,4.0,0.0,2.0,23.0,201.0,8.0,0.0,80.0,12.0,19.0,2498.0
Static PTQ Fused CPU,resnet50,98.3,20.68,20.61,3.26,4.77,23.65,1,64,CPU2,,resnet50_q_fused_scr2.pth,HistogramObserver HistogramObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,89.0,0.0,0.0,0.0,0.0,0.0,318.0,1.0,0.0,3.0,0.0,0.0,1017.0,10.0,7.0,1.0,1.0,14.0,212.0,6.0,0.0,104.0,15.0,20.0,2470.0
Static PTQ Fused CPU,resnet18,97.02,8.16,8.11,1.18,11.96,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,HistogramObserver HistogramObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,77.0,4.0,2.0,6.0,0.0,0.0,318.0,2.0,1.0,1.0,0.0,15.0,993.0,9.0,17.0,0.0,40.0,7.0,155.0,32.0,0.0,172.0,4.0,7.0,2426.0
Static PTQ Fused CPU,resnet34,98.46,14.31,14.23,1.19,6.92,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,HistogramObserver HistogramObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,88.0,0.0,0.0,1.0,0.0,0.0,313.0,1.0,1.0,7.0,0.0,1.0,1023.0,6.0,4.0,0.0,2.0,23.0,201.0,8.0,0.0,80.0,12.0,19.0,2498.0
Static PTQ Fused CPU,resnet50,98.3,19.83,19.81,1.97,4.96,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,HistogramObserver HistogramObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,89.0,0.0,0.0,0.0,0.0,0.0,318.0,1.0,0.0,3.0,0.0,0.0,1017.0,10.0,7.0,1.0,1.0,14.0,212.0,6.0,0.0,104.0,15.0,20.0,2470.0
