Description,Model,Acc,Time reg,Time sync,Std,Acc/Time,Size,Size,Image Size,Device Name,Notes,File Name,Observer,dType,QScheme,Reduce Range,,,,,,,,,,,,,,,,,,,,,,,,,
Static PTQ Fused CPU,resnet34,99.09,9.31,9.29,3.84,10.67,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,MinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,315.0,1.0,1.0,5.0,0.0,0.0,1026.0,6.0,2.0,0.0,2.0,17.0,210.0,5.0,0.0,2.0,1.0,3.0,299.0
Static PTQ Fused CPU,resnet50,98.91,14.1,14.05,7.21,7.04,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,MinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,313.0,1.0,1.0,7.0,0.0,1.0,1020.0,7.0,6.0,1.0,1.0,15.0,206.0,11.0,0.0,1.0,0.0,2.0,302.0
Static PTQ Fused CPU,resnet18,95.69,4.39,4.37,0.82,21.9,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,MovingAverageMinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,68.0,11.0,2.0,8.0,0.0,0.0,318.0,2.0,1.0,1.0,0.0,38.0,971.0,7.0,18.0,0.0,79.0,3.0,125.0,27.0,0.0,17.0,0.0,0.0,288.0
Static PTQ Fused CPU,resnet34,98.65,7.92,7.89,1.6,12.51,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,MovingAverageMinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,87.0,0.0,0.0,2.0,0.0,0.0,313.0,1.0,1.0,7.0,0.0,2.0,1022.0,6.0,4.0,0.0,2.0,27.0,193.0,12.0,0.0,2.0,0.0,1.0,302.0
Static PTQ Fused CPU,resnet50,99.13,11.92,11.87,4.23,8.35,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,MovingAverageMinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,89.0,0.0,0.0,0.0,0.0,0.0,317.0,2.0,0.0,3.0,0.0,1.0,1022.0,6.0,5.0,1.0,2.0,14.0,212.0,5.0,0.0,1.0,1.0,2.0,301.0
Static PTQ Fused CPU,resnet18,97.36,5.39,5.37,3.6,18.13,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,MovingAverageMinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_affine,False False,80.0,2.0,2.0,5.0,0.0,0.0,318.0,2.0,1.0,1.0,0.0,13.0,996.0,9.0,16.0,0.0,34.0,8.0,161.0,31.0,0.0,6.0,0.0,1.0,298.0
Static PTQ Fused CPU,resnet34,98.79,7.91,7.88,0.92,12.53,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,MovingAverageMinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_affine,False False,88.0,0.0,0.0,1.0,0.0,0.0,313.0,1.0,1.0,7.0,0.0,1.0,1022.0,7.0,4.0,0.0,2.0,24.0,200.0,8.0,0.0,1.0,0.0,3.0,301.0
Static PTQ Fused CPU,resnet50,99.09,13.19,13.15,5.68,7.54,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,MovingAverageMinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_affine,False False,89.0,0.0,0.0,0.0,0.0,0.0,319.0,1.0,0.0,2.0,0.0,1.0,1022.0,6.0,5.0,1.0,3.0,16.0,209.0,5.0,0.0,2.0,1.0,2.0,300.0
Static PTQ Fused CPU,resnet18,99.11,4.64,4.59,1.18,21.58,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,MovingAverageMinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,0.0,1.0,0.0,3.0,1018.0,10.0,3.0,1.0,2.0,13.0,215.0,3.0,0.0,3.0,0.0,4.0,298.0
Static PTQ Fused CPU,resnet34,99.11,7.73,7.71,0.84,12.86,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,MovingAverageMinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,316.0,1.0,1.0,4.0,0.0,1.0,1024.0,7.0,2.0,0.0,2.0,15.0,212.0,5.0,0.0,1.0,2.0,3.0,299.0
Static PTQ Fused CPU,resnet50,98.83,12.83,12.8,4.64,7.72,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,MovingAverageMinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,312.0,1.0,1.0,8.0,0.0,0.0,1013.0,13.0,8.0,1.0,1.0,10.0,210.0,12.0,0.0,1.0,0.0,2.0,302.0
Static PTQ Fused CPU,resnet18,99.05,4.49,4.49,0.64,22.08,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,MovingAverageMinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,319.0,1.0,0.0,2.0,0.0,4.0,1018.0,9.0,3.0,1.0,2.0,15.0,213.0,3.0,0.0,3.0,0.0,4.0,298.0
Static PTQ Fused CPU,resnet34,99.07,9.14,9.12,4.4,10.86,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,MovingAverageMinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,315.0,1.0,1.0,5.0,0.0,0.0,1026.0,6.0,2.0,0.0,2.0,16.0,211.0,5.0,0.0,3.0,2.0,3.0,297.0
Static PTQ Fused CPU,resnet50,98.99,12.61,12.57,4.97,7.88,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,MovingAverageMinMaxObserver MinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,314.0,1.0,1.0,6.0,0.0,0.0,1019.0,8.0,7.0,1.0,2.0,10.0,210.0,11.0,0.0,1.0,0.0,2.0,302.0
Static PTQ Fused CPU,resnet18,97.3,4.68,4.67,1.26,20.84,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,HistogramObserver MinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,80.0,3.0,2.0,4.0,0.0,0.0,318.0,2.0,1.0,1.0,0.0,15.0,995.0,9.0,15.0,0.0,34.0,8.0,159.0,33.0,0.0,6.0,0.0,1.0,298.0
Static PTQ Fused CPU,resnet34,98.81,8.04,8.02,2.54,12.32,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,HistogramObserver MinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,88.0,0.0,0.0,1.0,0.0,0.0,313.0,1.0,1.0,7.0,0.0,1.0,1023.0,6.0,4.0,0.0,2.0,24.0,200.0,8.0,0.0,1.0,0.0,3.0,301.0
Static PTQ Fused CPU,resnet50,99.03,12.2,12.17,3.62,8.14,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,HistogramObserver MinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,89.0,0.0,0.0,0.0,0.0,0.0,317.0,1.0,0.0,4.0,0.0,1.0,1021.0,7.0,5.0,1.0,3.0,16.0,209.0,5.0,0.0,2.0,1.0,2.0,300.0
Static PTQ Fused CPU,resnet18,97.36,4.59,4.55,1.19,21.39,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,HistogramObserver MinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_affine,False False,80.0,2.0,2.0,5.0,0.0,0.0,318.0,2.0,1.0,1.0,0.0,15.0,996.0,9.0,14.0,0.0,33.0,8.0,161.0,32.0,0.0,6.0,0.0,1.0,298.0
Static PTQ Fused CPU,resnet34,98.83,8.68,8.67,3.17,11.4,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,HistogramObserver MinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_affine,False False,89.0,0.0,0.0,0.0,0.0,0.0,313.0,1.0,1.0,7.0,0.0,1.0,1023.0,6.0,4.0,0.0,2.0,24.0,200.0,8.0,0.0,1.0,0.0,3.0,301.0
Static PTQ Fused CPU,resnet50,99.11,13.7,13.66,6.03,7.26,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,HistogramObserver MinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_affine,False False,89.0,0.0,0.0,0.0,0.0,0.0,319.0,1.0,0.0,2.0,0.0,1.0,1022.0,6.0,5.0,1.0,3.0,17.0,208.0,5.0,0.0,1.0,0.0,2.0,302.0
Static PTQ Fused CPU,resnet18,99.07,4.41,4.37,0.49,22.65,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,HistogramObserver MinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,319.0,1.0,0.0,2.0,0.0,4.0,1018.0,9.0,3.0,1.0,2.0,15.0,213.0,3.0,0.0,2.0,0.0,4.0,299.0
Static PTQ Fused CPU,resnet34,99.09,8.17,8.12,1.88,12.2,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,HistogramObserver MinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,315.0,1.0,1.0,5.0,0.0,0.0,1025.0,7.0,2.0,0.0,2.0,15.0,212.0,5.0,0.0,2.0,2.0,3.0,298.0
Static PTQ Fused CPU,resnet50,98.95,10.91,10.88,0.86,9.09,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,HistogramObserver MinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,313.0,1.0,1.0,7.0,0.0,0.0,1018.0,9.0,7.0,1.0,1.0,11.0,210.0,11.0,0.0,1.0,0.0,2.0,302.0
Static PTQ Fused CPU,resnet18,99.05,4.25,4.24,0.44,23.35,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,HistogramObserver MinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,319.0,1.0,0.0,2.0,0.0,3.0,1018.0,10.0,3.0,1.0,2.0,16.0,211.0,4.0,0.0,1.0,0.0,4.0,300.0
Static PTQ Fused CPU,resnet34,99.05,7.91,7.86,0.69,12.61,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,HistogramObserver MinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,315.0,1.0,1.0,5.0,0.0,0.0,1025.0,7.0,2.0,0.0,2.0,16.0,211.0,5.0,0.0,3.0,2.0,3.0,297.0
Static PTQ Fused CPU,resnet50,98.99,11.48,11.45,0.91,8.65,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,HistogramObserver MinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,314.0,1.0,1.0,6.0,0.0,0.0,1019.0,8.0,7.0,1.0,1.0,11.0,210.0,11.0,0.0,1.0,0.0,2.0,302.0
Static PTQ Fused CPU,resnet18,96.88,4.31,4.28,0.45,22.61,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,MinMaxObserver MovingAverageMinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,76.0,4.0,2.0,7.0,0.0,0.0,318.0,2.0,1.0,1.0,0.0,20.0,991.0,9.0,14.0,0.0,48.0,7.0,148.0,31.0,0.0,8.0,0.0,1.0,296.0
Static PTQ Fused CPU,resnet34,98.77,7.7,7.68,0.68,12.87,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,MinMaxObserver MovingAverageMinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,87.0,0.0,0.0,2.0,0.0,0.0,313.0,1.0,1.0,7.0,0.0,1.0,1023.0,7.0,3.0,0.0,2.0,25.0,199.0,8.0,0.0,1.0,0.0,3.0,301.0
Static PTQ Fused CPU,resnet50,99.03,11.21,11.18,0.84,8.86,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,MinMaxObserver MovingAverageMinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,89.0,0.0,0.0,0.0,0.0,0.0,317.0,2.0,0.0,3.0,0.0,3.0,1022.0,6.0,3.0,1.0,2.0,18.0,208.0,5.0,0.0,2.0,1.0,2.0,300.0
Static PTQ Fused CPU,resnet18,97.54,4.16,4.11,0.46,23.72,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,MinMaxObserver MovingAverageMinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_affine,False False,80.0,2.0,2.0,5.0,0.0,0.0,319.0,1.0,1.0,1.0,0.0,13.0,998.0,10.0,13.0,0.0,26.0,8.0,167.0,33.0,0.0,6.0,0.0,1.0,298.0
Static PTQ Fused CPU,resnet34,98.75,7.27,7.22,0.7,13.67,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,MinMaxObserver MovingAverageMinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_affine,False False,88.0,0.0,0.0,1.0,0.0,0.0,312.0,1.0,1.0,8.0,0.0,1.0,1023.0,6.0,4.0,0.0,2.0,26.0,198.0,8.0,0.0,1.0,0.0,3.0,301.0
Static PTQ Fused CPU,resnet50,98.93,11.09,11.07,0.9,8.94,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,MinMaxObserver MovingAverageMinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_affine,False False,89.0,0.0,0.0,0.0,0.0,0.0,316.0,2.0,0.0,4.0,0.0,1.0,1022.0,6.0,5.0,1.0,2.0,22.0,204.0,5.0,0.0,2.0,1.0,2.0,300.0
Static PTQ Fused CPU,resnet18,99.05,4.13,4.11,0.51,24.12,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,MinMaxObserver MovingAverageMinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,319.0,1.0,0.0,2.0,0.0,4.0,1018.0,9.0,3.0,1.0,2.0,16.0,212.0,3.0,0.0,2.0,0.0,4.0,299.0
Static PTQ Fused CPU,resnet34,99.09,7.23,7.2,0.75,13.77,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,MinMaxObserver MovingAverageMinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,315.0,1.0,1.0,5.0,0.0,0.0,1024.0,8.0,2.0,0.0,2.0,14.0,212.0,6.0,0.0,2.0,1.0,3.0,299.0
Static PTQ Fused CPU,resnet50,98.97,10.92,10.9,0.98,9.08,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,MinMaxObserver MovingAverageMinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,313.0,1.0,1.0,7.0,0.0,0.0,1019.0,7.0,8.0,1.0,1.0,11.0,210.0,11.0,0.0,1.0,0.0,2.0,302.0
Static PTQ Fused CPU,resnet18,99.03,4.53,4.5,0.44,22.02,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,MinMaxObserver MovingAverageMinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,319.0,1.0,0.0,2.0,0.0,4.0,1018.0,9.0,3.0,2.0,2.0,16.0,211.0,3.0,0.0,2.0,0.0,4.0,299.0
Static PTQ Fused CPU,resnet34,99.09,8.04,8.01,0.65,12.38,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,MinMaxObserver MovingAverageMinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,315.0,1.0,1.0,5.0,0.0,0.0,1026.0,6.0,2.0,0.0,2.0,17.0,210.0,5.0,0.0,2.0,1.0,3.0,299.0
Static PTQ Fused CPU,resnet50,98.91,10.69,10.67,0.98,9.27,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,MinMaxObserver MovingAverageMinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,313.0,1.0,1.0,7.0,0.0,1.0,1020.0,7.0,6.0,1.0,1.0,15.0,206.0,11.0,0.0,1.0,0.0,2.0,302.0
Static PTQ Fused CPU,resnet18,95.69,3.91,3.9,0.43,24.53,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,MovingAverageMinMaxObserver MovingAverageMinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,68.0,11.0,2.0,8.0,0.0,0.0,318.0,2.0,1.0,1.0,0.0,38.0,971.0,7.0,18.0,0.0,79.0,3.0,125.0,27.0,0.0,17.0,0.0,0.0,288.0
Static PTQ Fused CPU,resnet34,98.65,7.41,7.36,0.67,13.41,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,MovingAverageMinMaxObserver MovingAverageMinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,87.0,0.0,0.0,2.0,0.0,0.0,313.0,1.0,1.0,7.0,0.0,2.0,1022.0,6.0,4.0,0.0,2.0,27.0,193.0,12.0,0.0,2.0,0.0,1.0,302.0
Static PTQ Fused CPU,resnet50,99.13,10.64,10.62,0.94,9.33,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,MovingAverageMinMaxObserver MovingAverageMinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,89.0,0.0,0.0,0.0,0.0,0.0,317.0,2.0,0.0,3.0,0.0,1.0,1022.0,6.0,5.0,1.0,2.0,14.0,212.0,5.0,0.0,1.0,1.0,2.0,301.0
Static PTQ Fused CPU,resnet18,97.36,3.93,3.89,0.42,25.01,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,MovingAverageMinMaxObserver MovingAverageMinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_affine,False False,80.0,2.0,2.0,5.0,0.0,0.0,318.0,2.0,1.0,1.0,0.0,13.0,996.0,9.0,16.0,0.0,34.0,8.0,161.0,31.0,0.0,6.0,0.0,1.0,298.0
Static PTQ Fused CPU,resnet34,98.79,7.34,7.32,0.75,13.49,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,MovingAverageMinMaxObserver MovingAverageMinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_affine,False False,88.0,0.0,0.0,1.0,0.0,0.0,313.0,1.0,1.0,7.0,0.0,1.0,1022.0,7.0,4.0,0.0,2.0,24.0,200.0,8.0,0.0,1.0,0.0,3.0,301.0
Static PTQ Fused CPU,resnet50,99.09,11.44,11.39,1.04,8.7,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,MovingAverageMinMaxObserver MovingAverageMinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_affine,False False,89.0,0.0,0.0,0.0,0.0,0.0,319.0,1.0,0.0,2.0,0.0,1.0,1022.0,6.0,5.0,1.0,3.0,16.0,209.0,5.0,0.0,2.0,1.0,2.0,300.0
Static PTQ Fused CPU,resnet18,99.11,4.0,3.98,0.47,24.88,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,MovingAverageMinMaxObserver MovingAverageMinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,0.0,1.0,0.0,3.0,1018.0,10.0,3.0,1.0,2.0,13.0,215.0,3.0,0.0,3.0,0.0,4.0,298.0
Static PTQ Fused CPU,resnet34,99.11,7.2,7.16,0.7,13.84,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,MovingAverageMinMaxObserver MovingAverageMinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,316.0,1.0,1.0,4.0,0.0,1.0,1024.0,7.0,2.0,0.0,2.0,15.0,212.0,5.0,0.0,1.0,2.0,3.0,299.0
Static PTQ Fused CPU,resnet50,98.83,10.75,10.72,0.86,9.22,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,MovingAverageMinMaxObserver MovingAverageMinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,312.0,1.0,1.0,8.0,0.0,0.0,1013.0,13.0,8.0,1.0,1.0,10.0,210.0,12.0,0.0,1.0,0.0,2.0,302.0
Static PTQ Fused CPU,resnet18,99.05,4.06,4.03,0.46,24.58,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,MovingAverageMinMaxObserver MovingAverageMinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,319.0,1.0,0.0,2.0,0.0,4.0,1018.0,9.0,3.0,1.0,2.0,15.0,213.0,3.0,0.0,3.0,0.0,4.0,298.0
Static PTQ Fused CPU,resnet34,99.07,7.23,7.22,0.68,13.72,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,MovingAverageMinMaxObserver MovingAverageMinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,315.0,1.0,1.0,5.0,0.0,0.0,1026.0,6.0,2.0,0.0,2.0,16.0,211.0,5.0,0.0,3.0,2.0,3.0,297.0
Static PTQ Fused CPU,resnet50,98.99,10.92,10.89,0.92,9.09,23.65,1,64,CPU3,,resnet50_q_fused_scr2.pth,MovingAverageMinMaxObserver MovingAverageMinMaxObserver,quint8 quint8,per_tensor_symmetric per_tensor_symmetric,False False,89.0,0.0,0.0,0.0,0.0,0.0,314.0,1.0,1.0,6.0,0.0,0.0,1019.0,8.0,7.0,1.0,2.0,10.0,210.0,11.0,0.0,1.0,0.0,2.0,302.0
Static PTQ Fused CPU,resnet18,97.3,3.97,3.95,0.48,24.65,11.22,1,64,CPU3,,resnet18_q_fused_scr2.pth,HistogramObserver MovingAverageMinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,80.0,3.0,2.0,4.0,0.0,0.0,318.0,2.0,1.0,1.0,0.0,15.0,995.0,9.0,15.0,0.0,34.0,8.0,159.0,33.0,0.0,6.0,0.0,1.0,298.0
Static PTQ Fused CPU,resnet34,98.81,7.33,7.31,0.69,13.52,21.36,1,64,CPU3,,resnet34_q_fused_scr2.pth,HistogramObserver MovingAverageMinMaxObserver,quint8 quint8,per_tensor_affine per_tensor_affine,False False,88.0,0.0,0.0,1.0,0.0,0.0,313.0,1.0,1.0,7.0,0.0,1.0,1023.0,6.0,4.0,0.0,2.0,24.0,200.0,8.0,0.0,1.0,0.0,3.0,301.0
